fileid,characters,words,sentences,paragraphs,avg_word_len,avg_sent_len,avg_para_len
back_matter,261351,39689,2640,1050,5.559978835445589,15.03371212121212,2.5142857142857142
chapter_1,118920,21675,1749,869,4.354648212226067,12.392795883361922,2.0126582278481013
chapter_2,231626,41996,2949,1654,4.37291646823507,14.241098677517803,1.782950423216445
chapter_3,81097,14653,1017,476,4.412884733501672,14.408062930186825,2.1365546218487395
chapter_4,364920,71216,6055,3728,3.9769152999325996,11.76168455821635,1.6241952789699572
chapter_5,132329,25124,1634,849,4.149697500398026,15.375764993880049,1.9246171967020023
chapter_6,77885,14369,1062,625,4.248590716124991,13.530131826741997,1.6992
chapter_7,195718,36044,2566,1267,4.322605704139385,14.047155105222135,2.025256511444357
chapter_8,86497,15830,884,368,4.353821857233101,17.907239819004523,2.402173913043478
chapter_9,327168,59875,5683,3622,4.228325678496868,10.535984515220834,1.5690226394257316
front_matter,88685,9993,493,478,8.048734113879716,20.26977687626775,1.0313807531380754
