fileid,main_topic,percent,keywords
back_matter,13,0.8671901822090149,"['system', 'aircraft', 'pressure', 'air', 'fluid', 'metal', 'fuel', 'valve', 'type', 'electrical']"
chapter_1,3,0.9998817443847656,"['aircraft', 'wing', 'control', 'chapter', 'image', 'flight', 'rotor', 'edge', 'fuselage', 'gear']"
chapter_2,14,0.9999364614486694,"['aircraft', 'rotor', 'control', 'flight', 'lift', 'cable', 'air', 'inspection', 'wing', 'engine']"
chapter_3,18,0.9998140335083008,"['fabric', 'aircraft', 'covering', 'strength', 'process', 'dope', 'rib', 'lacing', 'polyester', 're']"
chapter_4,5,0.9999610185623169,"['rivet', 'metal', 'bend', 'drill', 'material', 'repair', 'inch', 'sheet', 'head', 'hole']"
chapter_5,15,0.99989914894104,"['welding', 'metal', 'weld', 'torch', 'gas', 'flame', 'arc', 'tube', 'joint', 'electrode']"
chapter_6,10,0.9998154640197754,"['wood', 'glue', 'repair', 'aircraft', 'patch', 'plywood', 'joint', 'skin', 'spar', 'grain']"
chapter_7,17,0.9750164151191711,"['repair', 'material', 'vacuum', 'ply', 'composite', 'temperature', 'resin', 'heat', 'damage', 'part']"
chapter_8,6,0.9998384118080139,"['paint', 'air', 'spray', 'surface', 'aircraft', 'gun', 'finish', 'coating', 'area', 'one']"
chapter_9,16,0.9999547004699707,"['current', 'voltage', 'aircraft', 'wire', 'circuit', 'generator', 'power', 'battery', 'bus', 'electrical']"
front_matter,3,0.5742987394332886,"['aircraft', 'wing', 'control', 'chapter', 'image', 'flight', 'rotor', 'edge', 'fuselage', 'gear']"
